23/09/15 19:00,FC Lorient,2 - 0,SM Caen,2.16,3.29,3.42
23/09/15 19:00,GFC Ajaccio,1 - 1,Stade Rennes,3.31,2.97,2.37
23/09/15 19:00,OGC Nice,6 - 1,Girondins Bordeaux,2.89,3.15,2.51
23/09/15 19:00,Olympique Lyon,2 - 0,SC Bastia,1.42,4.3,8.1
23/09/15 21:00,Toulouse FC,1 - 1,Olympique Marseille,2.93,3.26,2.44
24/09/15 18:55,Montpellier HSC,2 - 3,AS Monaco,3.21,3.07,2.38
29/09/15 18:30,Lille OSC,0 - 1,FC Nantes,1.83,3.18,4.96
25/09/15 20:30,Stade Reims,1 - 0,Lille OSC,2.67,3.04,2.81
26/09/15 17:30,FC Nantes,1 - 4,Paris St. Germain,9.32,4.28,1.39
26/09/15 20:00,Stade Rennes,1 - 1,ESTAC Troyes,1.64,3.68,5.6
26/09/15 20:00,Girondins Bordeaux,3 - 1,Olympique Lyon,2.45,3.21,2.94
26/09/15 20:00,SM Caen,2 - 0,GFC Ajaccio,1.8,3.4,4.78
26/09/15 20:00,SC Bastia,3 - 0,Toulouse FC,2.83,3.09,2.61
27/09/15 14:00,Olympique Marseille,1 - 2,Angers SCO,1.48,4.05,7.41
27/09/15 17:00,EA Guingamp,3 - 3,AS Monaco,3.05,3.1,2.46
27/09/15 17:00,Montpellier HSC,2 - 1,FC Lorient,2.13,3.26,3.51
27/09/15 21:00,AS St. Etienne,1 - 4,OGC Nice,1.72,3.59,5.03
02/10/15 20:30,Lille OSC,2 - 0,Montpellier HSC,2.05,3.14,3.96
03/10/15 17:30,Olympique Lyon,1 - 0,Stade Reims,1.53,4.03,6.35
03/10/15 20:00,Angers SCO,1 - 0,SC Bastia,2.05,3.11,4.01
03/10/15 20:00,GFC Ajaccio,2 - 2,Toulouse FC,3.17,3.18,2.33
03/10/15 20:00,ESTAC Troyes,0 - 1,EA Guingamp,2.69,3.14,2.71
04/10/15 14:00,AS Monaco,1 - 1,Stade Rennes,1.78,3.47,4.76
04/10/15 17:00,FC Lorient,3 - 2,Girondins Bordeaux,2.66,3.17,2.71
04/10/15 17:00,SM Caen,1 - 0,AS St. Etienne,2.41,3.18,3.01
04/10/15 21:00,Paris St. Germain,2 - 1,Olympique Marseille,1.33,5.06,9.44
04/11/15 19:30,OGC Nice,1 - 2,FC Nantes,1.96,3.2,4.15
16/10/15 20:30,AS Monaco,1 - 1,Olympique Lyon,2.66,3.15,2.74
17/10/15 17:00,SC Bastia,0 - 2,Paris St. Germain,9.09,4.82,1.35
17/10/15 20:00,Stade Reims,0 - 1,SM Caen,2.6,3.18,2.78
17/10/15 20:00,Toulouse FC,1 - 2,Angers SCO,1.88,3.31,4.4
17/10/15 20:00,FC Nantes,3 - 0,ESTAC Troyes,2,3.13,4.14
17/10/15 20:00,EA Guingamp,1 - 1,Lille OSC,2.57,3.05,2.92
17/10/15 20:00,AS St. Etienne,2 - 0,GFC Ajaccio,1.42,4.13,8.78
18/10/15 14:00,Olympique Marseille,1 - 1,FC Lorient,1.49,4.17,6.68
18/10/15 17:00,Girondins Bordeaux,0 - 0,Montpellier HSC,1.7,3.59,5.25
18/10/15 21:00,Stade Rennes,1 - 4,OGC Nice,2.04,3.37,3.68
23/10/15 18:30,SM Caen,0 - 2,FC Nantes,1.92,3.23,4.34
23/10/15 20:30,Olympique Lyon,3 - 0,Toulouse FC,1.69,3.7,5.06
24/10/15 17:00,FC Lorient,1 - 1,Stade Rennes,2.46,3.11,3
24/10/15 20:00,Angers SCO,0 - 0,EA Guingamp,2.56,3,2.98
24/10/15 20:00,GFC Ajaccio,3 - 1,OGC Nice,3.7,3.35,2.05
24/10/15 20:00,Montpellier HSC,2 - 0,SC Bastia,1.84,3.33,4.57
25/10/15 15:00,Stade Reims,0 - 1,AS Monaco,3.27,3.17,2.29
25/10/15 18:00,Girondins Bordeaux,1 - 0,ESTAC Troyes,1.49,4.13,6.78
25/10/15 18:00,Lille OSC,1 - 2,Olympique Marseille,2.63,3.12,2.8
25/10/15 22:00,Paris St. Germain,4 - 1,AS St. Etienne,1.32,5.12,9.6
30/10/15 21:30,Stade Rennes,0 - 1,Paris St. Germain,5.87,3.66,1.62
31/10/15 18:00,AS St. Etienne,3 - 0,Stade Reims,1.62,3.79,5.59
31/10/15 21:00,EA Guingamp,2 - 2,FC Lorient,2.17,3.3,3.38
31/10/15 21:00,ESTAC Troyes,0 - 1,Olympique Lyon,5.07,3.69,1.69
31/10/15 21:00,GFC Ajaccio,2 - 0,Girondins Bordeaux,4.2,3.3,1.92
31/10/15 21:00,SC Bastia,1 - 0,SM Caen,2.92,3.13,2.51
31/10/15 21:00,Toulouse FC,1 - 1,Montpellier HSC,2.1,3.27,3.6
01/11/15 15:00,OGC Nice,0 - 0,Lille OSC,2.33,3.15,3.18
01/11/15 18:00,AS Monaco,1 - 0,Angers SCO,1.7,3.47,5.55
