12/08/16 20:00,SC Bastia,0 - 1,Paris St. Germain,10.09,4.91,1.32
12/08/16 20:30,AS Monaco,2 - 2,EA Guingamp,1.67,3.66,5.28
13/08/16 17:00,Girondins Bordeaux,3 - 2,AS St. Etienne,2.34,3.02,3.32
13/08/16 20:00,Montpellier HSC,1 - 0,Angers SCO,1.87,3.17,4.71
13/08/16 20:00,SM Caen,3 - 2,FC Lorient,2.24,3.16,3.33
13/08/16 20:00,FC Metz,3 - 2,Lille OSC,3.63,3.04,2.19
13/08/16 20:00,Dijon FCO,0 - 1,FC Nantes,2.49,2.96,3.11
14/08/16 15:00,AS Nancy,0 - 3,Olympique Lyon,3.04,3.21,2.38
14/08/16 17:00,OGC Nice,1 - 0,Stade Rennes,2.38,3.11,3.18
14/08/16 20:45,Olympique Marseille,0 - 0,Toulouse FC,2.04,3.21,3.86
19/08/16 20:45,Olympique Lyon,2 - 0,SM Caen,1.37,4.83,8.15
20/08/16 17:00,FC Nantes,0 - 1,AS Monaco,2.41,2.98,3.23
20/08/16 20:00,Toulouse FC,4 - 1,Girondins Bordeaux,2.53,3.08,2.95
20/08/16 20:00,Stade Rennes,2 - 0,AS Nancy,2.05,3.2,3.86
20/08/16 20:00,FC Lorient,0 - 3,SC Bastia,2.11,3.09,3.77
20/08/16 20:00,Lille OSC,1 - 0,Dijon FCO,1.73,3.33,5.45
20/08/16 20:00,Angers SCO,0 - 1,OGC Nice,2.57,2.85,3.13
21/08/16 15:00,EA Guingamp,2 - 1,Olympique Marseille,2.82,3.08,2.65
21/08/16 17:00,AS St. Etienne,3 - 1,Montpellier HSC,2.29,3,3.46
21/08/16 20:45,Paris St. Germain,3 - 0,FC Metz,1.11,9.12,20.71
26/08/16 20:45,Olympique Marseille,2 - 0,FC Lorient,1.8,3.56,4.52
27/08/16 17:00,Dijon FCO,4 - 2,Olympique Lyon,4.82,3.59,1.74
27/08/16 20:00,OGC Nice,1 - 1,Lille OSC,2.59,2.9,3.03
27/08/16 20:00,AS Nancy,0 - 2,EA Guingamp,2.02,3.24,3.86
27/08/16 20:00,Montpellier HSC,1 - 1,Stade Rennes,2.11,3.16,3.72
27/08/16 20:00,FC Metz,2 - 0,Angers SCO,2.54,3.01,2.98
27/08/16 20:00,SM Caen,2 - 0,SC Bastia,2.19,3.08,3.57
28/08/16 15:00,Girondins Bordeaux,1 - 0,FC Nantes,2.11,3.06,3.87
28/08/16 17:00,AS St. Etienne,0 - 0,Toulouse FC,2.15,3.1,3.68
28/08/16 20:45,AS Monaco,3 - 1,Paris St. Germain,4.46,3.62,1.8
09/09/16 20:45,Paris St. Germain,1 - 1,AS St. Etienne,1.35,4.92,8.87
10/09/16 17:00,Olympique Lyon,1 - 3,Girondins Bordeaux,1.61,4.04,5.36
10/09/16 20:00,Angers SCO,3 - 1,Dijon FCO,2.24,3.02,3.55
10/09/16 20:00,SC Bastia,2 - 1,Toulouse FC,2.84,2.9,2.76
10/09/16 20:00,Lille OSC,1 - 4,AS Monaco,2.41,3.01,3.18
10/09/16 20:00,FC Lorient,0 - 2,AS Nancy,2.4,3.11,3.13
10/09/16 20:00,EA Guingamp,1 - 1,Montpellier HSC,2.36,3.12,3.18
11/09/16 15:00,FC Nantes,0 - 3,FC Metz,1.71,3.43,5.43
11/09/16 17:00,Stade Rennes,2 - 0,SM Caen,2.03,3.32,3.74
11/09/16 20:45,OGC Nice,3 - 2,Olympique Marseille,2.2,3.23,3.41
16/09/16 20:45,SM Caen,0 - 6,Paris St. Germain,7.39,4.62,1.42
17/09/16 17:00,AS Monaco,3 - 0,Stade Rennes,1.76,3.56,4.66
17/09/16 20:00,AS Nancy,1 - 1,FC Nantes,2.27,2.94,3.57
17/09/16 20:00,Toulouse FC,2 - 1,EA Guingamp,2.09,3.21,3.67
17/09/16 20:00,FC Lorient,1 - 0,Lille OSC,3.41,3.15,2.23
17/09/16 20:00,Girondins Bordeaux,0 - 1,Angers SCO,1.79,3.41,4.87
17/09/16 20:00,Dijon FCO,0 - 0,FC Metz,1.94,3.45,3.89
18/09/16 15:00,Montpellier HSC,1 - 1,OGC Nice,2.17,3.31,3.38
18/09/16 17:00,AS St. Etienne,1 - 0,SC Bastia,1.72,3.37,5.6
18/09/16 20:45,Olympique Marseille,0 - 0,Olympique Lyon,2.56,3.24,2.79
20/09/16 19:00,Lille OSC,1 - 2,Toulouse FC,2.2,3.04,3.63
20/09/16 21:00,Paris St. Germain,3 - 0,Dijon FCO,1.11,9.31,20.79
21/09/16 19:00,FC Metz,0 - 3,Girondins Bordeaux,3.07,3.27,2.34
21/09/16 19:00,FC Nantes,0 - 0,AS St. Etienne,2.63,2.92,2.97
21/09/16 19:00,OGC Nice,4 - 0,AS Monaco,3.31,3.25,2.23
21/09/16 19:00,Olympique Lyon,5 - 1,Montpellier HSC,1.68,3.71,5.12
21/09/16 19:00,EA Guingamp,1 - 0,FC Lorient,1.94,3.38,4.02
21/09/16 19:00,SC Bastia,0 - 0,AS Nancy,2.27,2.98,3.54
21/09/16 19:00,Angers SCO,2 - 1,SM Caen,2.2,3.13,3.5
21/09/16 21:00,Stade Rennes,3 - 2,Olympique Marseille,2.31,3.21,3.21
23/09/16 20:45,Toulouse FC,2 - 0,Paris St. Germain,7.06,4.3,1.46
24/09/16 17:00,FC Lorient,1 - 0,Olympique Lyon,3.76,3.4,2
24/09/16 20:00,SC Bastia,1 - 0,EA Guingamp,2.48,2.91,3.2
24/09/16 20:00,Girondins Bordeaux,0 - 0,SM Caen,1.76,3.61,4.65
24/09/16 20:00,Dijon FCO,3 - 0,Stade Rennes,2.5,3.09,2.99
24/09/16 20:00,AS Monaco,2 - 1,Angers SCO,1.71,3.52,5.2
24/09/16 20:00,Montpellier HSC,0 - 1,FC Metz,1.61,3.82,5.65
25/09/16 15:00,AS St. Etienne,3 - 1,Lille OSC,2.4,2.99,3.25
25/09/16 17:00,AS Nancy,0 - 1,OGC Nice,2.44,3.11,3.06
25/09/16 20:45,Olympique Marseille,2 - 1,FC Nantes,2.11,3.16,3.75
30/09/16 20:45,Stade Rennes,1 - 0,EA Guingamp,2.09,3.18,3.8
01/10/16 17:00,Paris St. Germain,2 - 0,Girondins Bordeaux,1.26,5.81,10.91
01/10/16 20:00,SM Caen,1 - 0,Toulouse FC,2.7,3.13,2.7
01/10/16 20:00,Dijon FCO,3 - 3,Montpellier HSC,2.45,3.13,3.01
01/10/16 20:00,Lille OSC,1 - 0,AS Nancy,1.79,3.35,4.99
01/10/16 20:00,FC Metz,0 - 7,AS Monaco,4.51,3.67,1.77
01/10/16 20:00,FC Nantes,1 - 0,SC Bastia,1.94,3.15,4.42
02/10/16 15:00,Angers SCO,1 - 1,Olympique Marseille,2.7,3.08,2.76
02/10/16 17:00,OGC Nice,2 - 1,FC Lorient,1.68,3.71,5.18
02/10/16 20:45,Olympique Lyon,2 - 0,AS St. Etienne,1.83,3.47,4.47
14/10/16 19:00,Toulouse FC,3 - 1,AS Monaco,2.78,3.14,2.62
14/10/16 20:45,OGC Nice,2 - 0,Olympique Lyon,2.84,3.31,2.47
15/10/16 17:00,AS Nancy,1 - 2,Paris St. Germain,8.07,4.3,1.42
15/10/16 20:00,SC Bastia,1 - 2,Angers SCO,2.59,2.8,3.16
15/10/16 20:00,EA Guingamp,1 - 0,Lille OSC,2.76,2.92,2.81
15/10/16 20:00,FC Lorient,1 - 2,FC Nantes,2.6,3,2.92
15/10/16 20:00,Montpellier HSC,3 - 2,SM Caen,2.02,3.33,3.8
16/10/16 15:00,Stade Rennes,1 - 1,Girondins Bordeaux,2.51,3.09,2.95
16/10/16 17:00,AS St. Etienne,1 - 1,Dijon FCO,1.74,3.44,5.19
16/10/16 20:45,Olympique Marseille,1 - 0,FC Metz,1.41,4.72,7.5
21/10/16 20:45,AS Monaco,6 - 2,Montpellier HSC,1.61,3.84,5.67
22/10/16 17:00,Olympique Lyon,1 - 3,EA Guingamp,1.45,4.35,7.04
22/10/16 20:00,Lille OSC,2 - 1,SC Bastia,1.84,3.23,4.87
22/10/16 20:00,FC Nantes,1 - 2,Stade Rennes,2.32,3.04,3.34
22/10/16 20:00,Dijon FCO,1 - 0,FC Lorient,2.2,3.25,3.38
22/10/16 20:00,Angers SCO,0 - 0,Toulouse FC,2.57,2.96,3.01
22/10/16 20:00,Girondins Bordeaux,1 - 1,AS Nancy,1.77,3.37,5
23/10/16 15:00,SM Caen,0 - 2,AS St. Etienne,2.65,3.06,2.82
23/10/16 17:00,FC Metz,2 - 4,OGC Nice,3.26,3.26,2.25
23/10/16 20:45,Paris St. Germain,0 - 0,Olympique Marseille,1.28,5.58,10.09
28/10/16 20:45,Lille OSC,0 - 1,Paris St. Germain,6.28,3.95,1.55
29/10/16 17:00,Toulouse FC,1 - 2,Olympique Lyon,2.64,3.23,2.69
29/10/16 20:00,AS Nancy,2 - 0,SM Caen,2.05,3.14,3.93
29/10/16 20:00,AS St. Etienne,1 - 1,AS Monaco,2.54,3.16,2.86
29/10/16 20:00,FC Lorient,2 - 2,Montpellier HSC,2.07,3.38,3.57
29/10/16 20:00,EA Guingamp,1 - 0,Angers SCO,2.29,3.04,3.41
29/10/16 20:00,SC Bastia,0 - 0,Dijon FCO,2.21,3.04,3.55
30/10/16 16:00,OGC Nice,4 - 1,FC Nantes,1.93,3.26,4.28
30/10/16 18:00,Stade Rennes,1 - 0,FC Metz,1.58,3.81,6.1
30/10/16 21:45,Olympique Marseille,0 - 0,Girondins Bordeaux,2.16,3.25,3.46
04/11/16 21:45,Montpellier HSC,3 - 1,Olympique Marseille,2.56,3.12,2.87
05/11/16 18:00,AS Monaco,6 - 0,AS Nancy,1.46,4.18,7.33
05/11/16 21:00,Angers SCO,1 - 0,Lille OSC,2.41,2.91,3.33
05/11/16 21:00,Girondins Bordeaux,2 - 1,FC Lorient,1.74,3.56,4.98
05/11/16 21:00,Dijon FCO,3 - 3,EA Guingamp,2.55,3.06,2.94
05/11/16 21:00,Olympique Lyon,2 - 1,SC Bastia,1.39,4.55,8.1
05/11/16 21:00,FC Nantes,1 - 1,Toulouse FC,2.54,2.94,3.05
06/11/16 16:00,SM Caen,1 - 0,OGC Nice,2.95,3.28,2.4
06/11/16 18:00,FC Metz,0 - 0,AS St. Etienne,3.49,3.22,2.16
06/11/16 21:45,Paris St. Germain,4 - 0,Stade Rennes,1.22,6.25,12.28
18/11/16 20:00,FC Lorient,0 - 3,AS Monaco,3.77,3.6,1.93
18/11/16 21:45,Lille OSC,0 - 1,Olympique Lyon,3,3.14,2.47
19/11/16 18:00,Paris St. Germain,2 - 0,FC Nantes,1.21,6.26,13.64
19/11/16 21:00,SC Bastia,1 - 1,Montpellier HSC,2.83,3.11,2.61
19/11/16 21:00,AS Nancy,1 - 0,Dijon FCO,2.07,3.26,3.7
19/11/16 21:00,Stade Rennes,1 - 1,Angers SCO,2.35,2.99,3.36
19/11/16 21:00,Toulouse FC,1 - 2,FC Metz,1.51,4.06,6.62
20/11/16 16:00,EA Guingamp,1 - 1,Girondins Bordeaux,2.48,3.15,2.96
