23/09/17 17:00,Montpellier HSC,0 - 0,Paris St. Germain,12.77,6.08,1.22,
23/09/17 20:00,FC Metz,0 - 1,ESTAC Troyes,2.1,3.28,3.56,
23/09/17 20:00,Girondins Bordeaux,3 - 1,EA Guingamp,1.67,3.73,5.17,
23/09/17 20:00,Olympique Lyon,3 - 3,Dijon FCO,1.32,5.34,8.28,
23/09/17 20:00,SM Caen,1 - 0,Amiens AC,1.93,3.21,4.36,
24/09/17 15:00,AS St. Etienne,2 - 2,Stade Rennes,2.27,3.15,3.29,
24/09/17 17:00,RC Strasbourg,1 - 2,FC Nantes,2.53,2.98,3.01,
24/09/17 21:00,Olympique Marseille,2 - 0,Toulouse FC,1.54,4.05,6.13,
29/09/17 20:45,AS Monaco,1 - 1,Montpellier HSC,1.33,5.05,9.19,
30/09/17 17:00,Paris St. Germain,6 - 2,Girondins Bordeaux,1.14,8.34,16.06,
30/09/17 20:00,Dijon FCO,1 - 1,RC Strasbourg,2.14,3.32,3.43,
30/09/17 20:00,EA Guingamp,1 - 1,Toulouse FC,1.85,3.41,4.39,
30/09/17 20:00,FC Nantes,1 - 0,FC Metz,1.6,3.74,6.03,
30/09/17 20:00,Stade Rennes,0 - 1,SM Caen,1.87,3.33,4.43,
01/10/17 15:00,ESTAC Troyes,2 - 1,AS St. Etienne,3.61,3.17,2.14,
01/10/17 17:00,Angers SCO,3 - 3,Olympique Lyon,3.24,3.38,2.19,
01/10/17 21:00,OGC Nice,2 - 4,Olympique Marseille,2.42,3.36,2.87,
20/11/17 20:00,Amiens AC,3 - 0,Lille OSC,2.8,3.08,2.63,
13/10/17 20:45,Olympique Lyon,3 - 2,AS Monaco,1.99,3.85,3.37,
14/10/17 17:00,Dijon FCO,1 - 2,Paris St. Germain,17,8.3,1.14,
14/10/17 20:00,SM Caen,0 - 2,Angers SCO,2.41,3.06,3.13,
14/10/17 20:00,AS St. Etienne,3 - 1,FC Metz,1.59,3.78,5.08,
14/10/17 20:00,Lille OSC,2 - 2,ESTAC Troyes,1.64,3.7,5.52,
14/10/17 20:00,Toulouse FC,1 - 0,Amiens AC,1.83,3.23,4.84,
14/10/17 20:00,EA Guingamp,2 - 0,Stade Rennes,2.1,3.3,3.52,
15/10/17 15:00,Girondins Bordeaux,1 - 1,FC Nantes,1.64,3.63,5.56,
15/10/17 17:00,Montpellier HSC,2 - 0,OGC Nice,2.6,3.09,2.83,
15/10/17 21:00,RC Strasbourg,3 - 3,Olympique Marseille,3.88,3.53,1.92,
20/10/17 20:45,AS St. Etienne,0 - 1,Montpellier HSC,2.1,3.1,3.73,
21/10/17 17:00,AS Monaco,2 - 0,SM Caen,1.35,4.56,7.04,
21/10/17 20:00,Angers SCO,0 - 1,Toulouse FC,1.98,3.24,3.95,
21/10/17 20:00,Stade Rennes,1 - 0,Lille OSC,2.14,3.18,3.58,
21/10/17 20:00,Amiens AC,1 - 0,Girondins Bordeaux,5.54,3.67,1.62,
21/10/17 20:00,FC Metz,1 - 2,Dijon FCO,2.61,3.19,2.7,
21/10/17 20:00,FC Nantes,2 - 1,EA Guingamp,2.18,3.09,3.5,
22/10/17 15:00,OGC Nice,1 - 2,RC Strasbourg,1.69,3.68,4.94,
22/10/17 17:00,ESTAC Troyes,0 - 5,Olympique Lyon,5.79,4.11,1.53,
22/10/17 21:00,Olympique Marseille,2 - 2,Paris St. Germain,7.67,5.37,1.33,
27/10/17 20:45,Paris St. Germain,3 - 0,OGC Nice,1.14,8.49,15.51,
28/10/17 17:00,Girondins Bordeaux,0 - 2,AS Monaco,2.51,3.38,2.72,
28/10/17 20:00,Dijon FCO,1 - 0,FC Nantes,2.63,3.06,2.81,
28/10/17 20:00,EA Guingamp,1 - 1,Amiens AC,1.86,3.25,4.57,
28/10/17 20:00,Montpellier HSC,0 - 1,Stade Rennes,2.01,3.11,4.12,
28/10/17 20:00,RC Strasbourg,2 - 2,Angers SCO,2.83,3.18,2.53,
28/10/17 20:00,SM Caen,1 - 0,ESTAC Troyes,1.68,3.53,5.45,
29/10/17 16:00,Olympique Lyon,2 - 0,FC Metz,1.16,7.8,13.68,
29/10/17 18:00,Toulouse FC,0 - 0,AS St. Etienne,2.33,3.07,3.24,
29/10/17 22:00,Lille OSC,0 - 1,Olympique Marseille,3.14,3.43,2.21,
03/11/17 21:45,Stade Rennes,1 - 0,Girondins Bordeaux,3.21,3.15,2.31,
04/11/17 18:00,Angers SCO,0 - 5,Paris St. Germain,10.13,6.04,1.25,
04/11/17 21:00,Montpellier HSC,1 - 1,Amiens AC,1.68,3.39,5.8,
